VD_V,measured_covariance,new_dynamic_covariance,static_covariance,measured_r,new_dynamic_r,static_r,dlnI_dGIDLphi,dlnI_dphiE
3.279999999999999805e+00,-3.479669303479331955e-04,-3.728429906180121727e-04,-9.121071762590598651e-04,-4.858837942774641427e-01,-5.206194932664891528e-01,-1.273621304028289769e+00,4.513376339332353382e-06,1.160450645325106080e+02
3.299999999999999822e+00,-3.084704895355012532e-04,-3.519387710052725832e-04,-8.879460036148655944e-04,-4.697710191548176151e-01,-5.359690496948276150e-01,-1.352256741643987903e+00,1.979372221683206590e-06,1.129711013821754619e+02
3.319999999999999840e+00,-3.058287897050273501e-04,-3.380377986497015643e-04,-8.795980186133336293e-04,-4.765756062908246826e-01,-5.267671791006960369e-01,-1.370685079770194825e+00,7.223988518489932176e-06,1.119090062879912608e+02
3.339999999999999858e+00,-3.060147863370330998e-04,-3.177957380046023649e-04,-8.528381078843777236e-04,-4.724483397326671441e-01,-4.906366473057653943e-01,-1.316674769064788197e+00,5.476432640705297672e-06,1.085044119772504558e+02
3.359999999999999876e+00,-2.840101059247800283e-04,-3.006391567241791592e-04,-8.320772408583093941e-04,-4.449939027240401024e-01,-4.710487016887670020e-01,-1.303718744696556353e+00,-1.630986901091091568e-06,1.058630629557022331e+02
3.379999999999999893e+00,-2.774660310464833936e-04,-2.884396529537861810e-04,-8.233274668505704630e-04,-4.569026286897825417e-01,-4.749728648076389503e-01,-1.355771308140795828e+00,6.529639051677804673e-07,1.047498505799104720e+02
3.399999999999999911e+00,-2.554248669044873496e-04,-2.714930316939962612e-04,-7.992375266414640045e-04,-4.333019386662749772e-01,-4.605599227399512219e-01,-1.355824019585701867e+00,2.900454987297962361e-06,1.016849480712345013e+02
3.419999999999999929e+00,-2.329691959339607861e-04,-2.589863743596840977e-04,-7.863096969926843894e-04,-4.015001927727200881e-01,-4.463383187380568495e-01,-1.355129778664444506e+00,6.144082576042819710e-06,1.000401719862153840e+02
3.439999999999999947e+00,-2.266654342399870121e-04,-2.466691691862559670e-04,-7.723802036647794056e-04,-4.005427098884010717e-01,-4.358915059239916734e-01,-1.364880626273577535e+00,6.039388544820667448e-06,9.826795819405374743e+01
3.459999999999999964e+00,-2.100988871723376891e-04,-2.324329576665220653e-04,-7.506085823339486880e-04,-3.808561132048988163e-01,-4.213421309793861647e-01,-1.360663404996778514e+00,4.244531837116483075e-06,9.549801117207933032e+01
